run_accession;study_accession;study_title;experiment_accession;experiment_title;experiment_desc;organism_taxid;organism_name;library_name;library_strategy;library_source;library_selection;library_layout;sample_accession;sample_title;biosample;bioproject;instrument;instrument_model;instrument_model_desc;total_spots;total_size;run_total_spots;run_total_bases;run_alias;public_filename;public_size;public_date;public_md5;public_version;public_semantic_name;public_supertype;public_sratoolkit;aws_url;aws_free_egress;aws_access_type;public_url;ncbi_url;ncbi_free_egress;ncbi_access_type;gcp_url;gcp_free_egress;gcp_access_type;experiment_alias;ena first public;insdc center name;insdc status;submitter id;collection date;common name;Continent location;geographic location (country and/or sea);sample name;scientific_name;ena_fastq_http;ena_fastq_http_1;ena_fastq_http_2;ena_fastq_ftp;ena_fastq_ftp_1;ena_fastq_ftp_2;ecotype;dev_stage;sex;tissue;biomaterial_provider;death_date;biosamplemodel;strain;isolate;breed;cultivar;age;geo_loc_name
ERR16661296;ERP161503;Scandinavian brown bear whole genomes;ERX16051764;Illumina NovaSeq 6000 paired end sequencing;Illumina NovaSeq 6000 paired end sequencing;9644;Ursus arctos;NA;WGS;GENOMIC;RANDOM;PAIRED;ERS28818204;;SAMEA121272839;PRJEB77023;Illumina NovaSeq 6000;Illumina NovaSeq 6000;ILLUMINA;77921096;8477326261;77921096;23532170992;ena-RUN-TAB-09-02-2026-07:55:32:738-10391;ERR16661296.lite;6013918583;16/02/2026 08:11;484246d8b759baa69312f80c62700057;1;SRA Lite;Primary ETL;1;s3://sra-pub-zq-8/ERR16661296/ERR16661296.lite.1;s3.us-east-1;aws identity;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/ERR016/16661/ERR16661296/ERR16661296.lite.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/ERR016/16661/ERR16661296/ERR16661296.lite.1;worldwide;anonymous;gs://sra-pub-zq-109/ERR16661296/ERR16661296.lite.1;gs.us-east1;gcp identity;;10/02/2026;isabelle feinauer;public;IM2;2007;brown bear;Europe;Sweden;IM2;Ursus arctos;;http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/096/ERR16661296/ERR16661296_1.fastq.gz;http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/096/ERR16661296/ERR16661296_2.fastq.gz;;era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR166/096/ERR16661296/ERR16661296_1.fastq.gz;era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR166/096/ERR16661296/ERR16661296_2.fastq.gz;;;;;;;;;;;;;
ERR16661297;ERP161503;Scandinavian brown bear whole genomes;ERX16051765;Illumina NovaSeq 6000 paired end sequencing;Illumina NovaSeq 6000 paired end sequencing;9644;Ursus arctos;NA;WGS;GENOMIC;RANDOM;PAIRED;ERS28818204;;SAMEA121272839;PRJEB77023;Illumina NovaSeq 6000;Illumina NovaSeq 6000;ILLUMINA;53709840;5409248647;53709840;16220371680;ena-RUN-TAB-09-02-2026-07:55:32:739-10393;ERR16661297.lite;4146367956;14/02/2026 02:34;57b118215e2dd3eb2b469152fbfa86c7;1;SRA Lite;Primary ETL;1;s3://sra-pub-zq-6/ERR16661297/ERR16661297.lite.1;s3.us-east-1;aws identity;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/ERR016/16661/ERR16661297/ERR16661297.lite.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/ERR016/16661/ERR16661297/ERR16661297.lite.1;worldwide;anonymous;gs://sra-pub-zq-102/ERR16661297/ERR16661297.lite.1;gs.us-east1;gcp identity;;10/02/2026;isabelle feinauer;public;IM2;2007;brown bear;Europe;Sweden;IM2;Ursus arctos;;http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/097/ERR16661297/ERR16661297_1.fastq.gz;http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/097/ERR16661297/ERR16661297_2.fastq.gz;;era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR166/097/ERR16661297/ERR16661297_1.fastq.gz;era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR166/097/ERR16661297/ERR16661297_2.fastq.gz;;;;;;;;;;;;;
ERR16661298;ERP161503;Scandinavian brown bear whole genomes;ERX16051766;Illumina NovaSeq 6000 paired end sequencing;Illumina NovaSeq 6000 paired end sequencing;9644;Ursus arctos;NA;WGS;GENOMIC;RANDOM;PAIRED;ERS28818205;;SAMEA121272840;PRJEB77023;Illumina NovaSeq 6000;Illumina NovaSeq 6000;ILLUMINA;72307323;7846396347;72307323;21836811546;ena-RUN-TAB-09-02-2026-07:55:32:739-10395;ERR16661298.lite;5582444749;14/02/2026 02:35;bc9ddd9014ed2e58123e3137bbf29737;1;SRA Lite;Primary ETL;1;s3://sra-pub-zq-6/ERR16661298/ERR16661298.lite.1;s3.us-east-1;aws identity;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/ERR016/16661/ERR16661298/ERR16661298.lite.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/ERR016/16661/ERR16661298/ERR16661298.lite.1;worldwide;anonymous;gs://sra-pub-zq-102/ERR16661298/ERR16661298.lite.1;gs.us-east1;gcp identity;;10/02/2026;isabelle feinauer;public;IM4;2008;brown bear;Europe;Sweden;IM4;Ursus arctos;;http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/098/ERR16661298/ERR16661298_1.fastq.gz;http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/098/ERR16661298/ERR16661298_2.fastq.gz;;era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR166/098/ERR16661298/ERR16661298_1.fastq.gz;era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR166/098/ERR16661298/ERR16661298_2.fastq.gz;;;;;;;;;;;;;
ERR16661299;ERP161503;Scandinavian brown bear whole genomes;ERX16051767;Illumina NovaSeq 6000 paired end sequencing;Illumina NovaSeq 6000 paired end sequencing;9644;Ursus arctos;NA;WGS;GENOMIC;RANDOM;PAIRED;ERS28818205;;SAMEA121272840;PRJEB77023;Illumina NovaSeq 6000;Illumina NovaSeq 6000;ILLUMINA;61350054;6162057031;61350054;18527716308;ena-RUN-TAB-09-02-2026-07:55:32:740-10397;ERR16661299.lite;4735123495;15/02/2026 04:46;730ad3a58bd05a0a7c08606a67a0d78e;1;SRA Lite;Primary ETL;1;s3://sra-pub-zq-5/ERR16661299/ERR16661299.lite.1;s3.us-east-1;aws identity;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/ERR016/16661/ERR16661299/ERR16661299.lite.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/ERR016/16661/ERR16661299/ERR16661299.lite.1;worldwide;anonymous;gs://sra-pub-zq-101/ERR16661299/ERR16661299.lite.1;gs.us-east1;gcp identity;;10/02/2026;isabelle feinauer;public;IM4;2008;brown bear;Europe;Sweden;IM4;Ursus arctos;;http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/099/ERR16661299/ERR16661299_1.fastq.gz;http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/099/ERR16661299/ERR16661299_2.fastq.gz;;era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR166/099/ERR16661299/ERR16661299_1.fastq.gz;era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR166/099/ERR16661299/ERR16661299_2.fastq.gz;;;;;;;;;;;;;
ERR16661300;ERP161503;Scandinavian brown bear whole genomes;ERX16051768;Illumina NovaSeq 6000 paired end sequencing;Illumina NovaSeq 6000 paired end sequencing;9644;Ursus arctos;NA;WGS;GENOMIC;RANDOM;PAIRED;ERS28818206;;SAMEA121272841;PRJEB77023;Illumina NovaSeq 6000;Illumina NovaSeq 6000;ILLUMINA;78670881;8517646173;78670881;23758606062;ena-RUN-TAB-09-02-2026-07:55:32:740-10399;ERR16661300.lite;6072172355;15/02/2026 10:42;797eae5027a721738b1c057fdab784d4;1;SRA Lite;Primary ETL;1;s3://sra-pub-zq-9/ERR16661300/ERR16661300.lite.1;s3.us-east-1;aws identity;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/ERR016/16661/ERR16661300/ERR16661300.lite.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/ERR016/16661/ERR16661300/ERR16661300.lite.1;worldwide;anonymous;gs://sra-pub-zq-105/ERR16661300/ERR16661300.lite.1;gs.us-east1;gcp identity;;10/02/2026;isabelle feinauer;public;IM5;2008;brown bear;Europe;Sweden;IM5;Ursus arctos;;http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/000/ERR16661300/ERR16661300_1.fastq.gz;http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/000/ERR16661300/ERR16661300_2.fastq.gz;;era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR166/000/ERR16661300/ERR16661300_1.fastq.gz;era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR166/000/ERR16661300/ERR16661300_2.fastq.gz;;;;;;;;;;;;;
ERR16661301;ERP161503;Scandinavian brown bear whole genomes;ERX16051769;Illumina NovaSeq 6000 paired end sequencing;Illumina NovaSeq 6000 paired end sequencing;9644;Ursus arctos;NA;WGS;GENOMIC;RANDOM;PAIRED;ERS28818206;;SAMEA121272841;PRJEB77023;Illumina NovaSeq 6000;Illumina NovaSeq 6000;ILLUMINA;58472377;5859383725;58472377;17658657854;ena-RUN-TAB-09-02-2026-07:55:32:740-10401;ERR16661301.lite;4514665513;15/02/2026 10:41;578f7920f4ba588cf85ab664f86ca0b7;1;SRA Lite;Primary ETL;1;s3://sra-pub-zq-9/ERR16661301/ERR16661301.lite.1;s3.us-east-1;aws identity;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/ERR016/16661/ERR16661301/ERR16661301.lite.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/ERR016/16661/ERR16661301/ERR16661301.lite.1;worldwide;anonymous;gs://sra-pub-zq-105/ERR16661301/ERR16661301.lite.1;gs.us-east1;gcp identity;;10/02/2026;isabelle feinauer;public;IM5;2008;brown bear;Europe;Sweden;IM5;Ursus arctos;;http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/001/ERR16661301/ERR16661301_1.fastq.gz;http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/001/ERR16661301/ERR16661301_2.fastq.gz;;era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR166/001/ERR16661301/ERR16661301_1.fastq.gz;era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR166/001/ERR16661301/ERR16661301_2.fastq.gz;;;;;;;;;;;;;
ERR16661302;ERP161503;Scandinavian brown bear whole genomes;ERX16051770;Illumina NovaSeq 6000 paired end sequencing;Illumina NovaSeq 6000 paired end sequencing;9644;Ursus arctos;NA;WGS;GENOMIC;RANDOM;PAIRED;ERS28818207;;SAMEA121272842;PRJEB77023;Illumina NovaSeq 6000;Illumina NovaSeq 6000;ILLUMINA;67209126;7321853055;67209126;20297156052;ena-RUN-TAB-09-02-2026-07:55:32:741-10403;ERR16661302.lite;5196645407;15/02/2026 10:43;fb41ff3d29a86f139cbdede7e56840c6;1;SRA Lite;Primary ETL;1;s3://sra-pub-zq-9/ERR16661302/ERR16661302.lite.1;s3.us-east-1;aws identity;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/ERR016/16661/ERR16661302/ERR16661302.lite.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/ERR016/16661/ERR16661302/ERR16661302.lite.1;worldwide;anonymous;gs://sra-pub-zq-105/ERR16661302/ERR16661302.lite.1;gs.us-east1;gcp identity;;10/02/2026;isabelle feinauer;public;IM6;2008;brown bear;Europe;Sweden;IM6;Ursus arctos;;http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/002/ERR16661302/ERR16661302_1.fastq.gz;http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/002/ERR16661302/ERR16661302_2.fastq.gz;;era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR166/002/ERR16661302/ERR16661302_1.fastq.gz;era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR166/002/ERR16661302/ERR16661302_2.fastq.gz;;;;;;;;;;;;;
ERR16661303;ERP161503;Scandinavian brown bear whole genomes;ERX16051771;Illumina NovaSeq 6000 paired end sequencing;Illumina NovaSeq 6000 paired end sequencing;9644;Ursus arctos;NA;WGS;GENOMIC;RANDOM;PAIRED;ERS28818207;;SAMEA121272842;PRJEB77023;Illumina NovaSeq 6000;Illumina NovaSeq 6000;ILLUMINA;56919390;5738489305;56919390;17189655780;ena-RUN-TAB-09-02-2026-07:55:32:741-10405;P27202_1003_S97_L001_R1_001.fastq.gz;4454081401;14/02/2026 00:42;9bfbc0e1787374ff05c389f3672e8292;1;fastq;Original;0;s3://sra-pub-src-5/ERR16661303/P27202_1003_S97_L001_R1_001.fastq.gz.1;-;Use Cloud Data Delivery;https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR16661303/ERR16661303;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/ERR016/16661/ERR16661303/ERR16661303.lite.1;worldwide;anonymous;gs://sra-pub-zq-102/ERR16661303/ERR16661303.lite.1;gs.us-east1;gcp identity;;10/02/2026;isabelle feinauer;public;IM6;2008;brown bear;Europe;Sweden;IM6;Ursus arctos;;http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/003/ERR16661303/ERR16661303_1.fastq.gz;http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/003/ERR16661303/ERR16661303_2.fastq.gz;;era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR166/003/ERR16661303/ERR16661303_1.fastq.gz;era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR166/003/ERR16661303/ERR16661303_2.fastq.gz;;;;;;;;;;;;;
ERR16661304;ERP161503;Scandinavian brown bear whole genomes;ERX16051772;Illumina NovaSeq 6000 paired end sequencing;Illumina NovaSeq 6000 paired end sequencing;9644;Ursus arctos;NA;WGS;GENOMIC;RANDOM;PAIRED;ERS28818208;;SAMEA121272843;PRJEB77023;Illumina NovaSeq 6000;Illumina NovaSeq 6000;ILLUMINA;60597345;6614787722;60597345;18300398190;ena-RUN-TAB-09-02-2026-07:55:32:741-10407;ERR16661304.lite;4685567630;14/02/2026 02:35;73f44bff7d98132ea94616af8c9b2548;1;SRA Lite;Primary ETL;1;s3://sra-pub-zq-6/ERR16661304/ERR16661304.lite.1;s3.us-east-1;aws identity;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/ERR016/16661/ERR16661304/ERR16661304.lite.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/ERR016/16661/ERR16661304/ERR16661304.lite.1;worldwide;anonymous;gs://sra-pub-zq-102/ERR16661304/ERR16661304.lite.1;gs.us-east1;gcp identity;;10/02/2026;isabelle feinauer;public;IM15;2009;brown bear;Europe;Sweden;IM15;Ursus arctos;;http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/004/ERR16661304/ERR16661304_1.fastq.gz;http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/004/ERR16661304/ERR16661304_2.fastq.gz;;era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR166/004/ERR16661304/ERR16661304_1.fastq.gz;era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR166/004/ERR16661304/ERR16661304_2.fastq.gz;;;;;;;;;;;;;
ERR16661305;ERP161503;Scandinavian brown bear whole genomes;ERX16051773;Illumina NovaSeq 6000 paired end sequencing;Illumina NovaSeq 6000 paired end sequencing;9644;Ursus arctos;NA;WGS;GENOMIC;RANDOM;PAIRED;ERS28818208;;SAMEA121272843;PRJEB77023;Illumina NovaSeq 6000;Illumina NovaSeq 6000;ILLUMINA;54909643;5557303918;54909643;16582712186;ena-RUN-TAB-09-02-2026-07:55:32:742-10409;P27202_1004_S98_L001_R1_001.fastq.gz;4305526721;13/02/2026 22:47;3dfa9f0cb3ec02c7540e2551a6206424;1;fastq;Original;0;s3://sra-pub-src-5/ERR16661305/P27202_1004_S98_L001_R1_001.fastq.gz.1;-;Use Cloud Data Delivery;https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR16661305/ERR16661305;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/ERR016/16661/ERR16661305/ERR16661305.lite.1;worldwide;anonymous;gs://sra-pub-zq-108/ERR16661305/ERR16661305.lite.1;gs.us-east1;gcp identity;;10/02/2026;isabelle feinauer;public;IM15;2009;brown bear;Europe;Sweden;IM15;Ursus arctos;;http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/005/ERR16661305/ERR16661305_1.fastq.gz;http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/005/ERR16661305/ERR16661305_2.fastq.gz;;era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR166/005/ERR16661305/ERR16661305_1.fastq.gz;era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR166/005/ERR16661305/ERR16661305_2.fastq.gz;;;;;;;;;;;;;
